Iter,Cd,Cl
0,0.0010147,1.484051e-08
100,0.4821713,-0.00957485
200,0.9776572,-0.02468332
300,0.8172611,-0.01834162
400,0.6121124,-0.02110347
500,0.5224219,-0.01605348
600,0.4562094,-0.01426808
700,0.4151155,-0.00282357
800,0.4002854,0.01874757
900,0.4101872,0.05161414
1000,0.4159113,0.07299208
1100,0.4219501,0.1142558
1200,0.4455845,0.2115835
1300,0.4440537,0.2807587
1400,0.4333905,0.2382769
1500,0.4133596,0.1329549
1600,0.4210444,0.005494013
1700,0.416229,-0.08345553
1800,0.4185823,-0.1254172
1900,0.4245876,-0.1541229
2000,0.4334846,-0.1503337
2100,0.4376001,-0.1293224
2200,0.4426884,-0.08612767
2300,0.4485859,-0.02017185
2400,0.4585361,0.01631821
2500,0.4667015,0.04402509
2600,0.4756801,0.05411258
2700,0.4842564,0.05647947
2800,0.4925253,0.04645831
2900,0.4997435,0.006166637
3000,0.5093167,-0.02586013
3100,0.5181597,-0.05622366
3200,0.5235306,-0.06621584
3300,0.5268015,-0.0745093
3400,0.5323263,-0.04516676
3500,0.5303222,0.004858243
3600,0.5355235,0.04944134
3700,0.5416569,0.08681624
3800,0.540588,0.0876806
3900,0.536476,0.06840642
4000,0.5401789,-0.01018044
4100,0.5371058,-0.07589421
4200,0.5417148,-0.1201539
4300,0.5425319,-0.1173794
4400,0.534084,-0.05217584
4500,0.5336671,0.05950301
4600,0.5477522,0.1272993
4700,0.5400692,0.1572377
4800,0.5364317,0.09923799
4900,0.5347905,-0.03339593
5000,0.5551441,-0.1515734
5100,0.5604397,-0.1989116
5200,0.5547418,-0.1474448
5300,0.5466874,0.01731425
5400,0.5850349,0.1819774
5500,0.5909448,0.2340566
5600,0.575848,0.141467
5700,0.5920567,-0.03546151
5800,0.6337361,-0.1925247
5900,0.6319526,-0.1893086
6000,0.6242431,-0.03982146
6100,0.670978,0.1081392
6200,0.6892687,0.142868
6300,0.6319532,-0.0146661
6400,0.7630807,-0.2259205
6500,0.8680591,-0.2423825
6600,0.7481123,-0.2347521
6700,0.7619695,0.2399214
6800,0.9918482,0.2882223
6900,0.9890256,0.4100444
7000,0.7668904,0.5036874
